,id,sex,genotype,phenotype_x,Perimeter,area,ellipse axe 1 length,max axe 1 length,deviation max axe 1 from center,axe 1 Moment 2,axe 1 Moment 3,axe 1 Moment 4,std axe 1 Moment 2,std axe 1 Moment 3,std axe 1 Moment 4,phenotype_y,Tribe,Genus,Species,sub-species,doresal/ventral,Anterior/Posterior,left/right,sub/Family,ellipse axe 2 length,max axe 2 length,deviation max axe 2 from center,axe 2 Moment 2,axe 2 Moment 3,axe 2 Moment 4,std axe 2 Moment 2,std axe 2 Moment 3,std axe 2 Moment 4,phenotype,sex-phenotype
0,725,f,a-e,elegans,4565.9549,954465,1622.1291,1674,69.7104,9.67713E+11,1.16609E+15,1.49E+18,0.6015,0.63861,0.66756,elegans,,,,,,,,,,,,,,,,,,,
1,725,f,a-e,elegans,4565.9549,638157,1120.3231,1100,-59.4572,2.49025E+11,1.95194E+14,1.64E+17,0.56789,0.61252,0.64729,elegans,,,,,,,,,,,,,,,,,,,
2,725,f,a-e,elegans,4595.8817,954465,1622.1291,1674,69.7104,9.67713E+11,1.16609E+15,1.49E+18,0.6015,0.63861,0.66756,elegans,,,,,,,,,,,,,,,,,,,
3,725,f,a-e,elegans,4595.8817,638157,1120.3231,1100,-59.4572,2.49025E+11,1.95194E+14,1.64E+17,0.56789,0.61252,0.64729,elegans,,,,,,,,,,,,,,,,,,,
4,726,f,a-s,aurora,4447.3519,984051,1673.3414,1741,89.1505,1.06985E+12,1.33603E+15,1.77E+18,0.5989,0.63602,0.66519,aurora,,,,,,,,,,,,,,,,,,,
5,726,f,a-s,aurora,4447.3519,634452,1145.199,1138,50.8133,2.67702E+11,2.16542E+14,1.87E+17,0.5708,0.6141,0.6479,aurora,,,,,,,,,,,,,,,,,,,
6,726,f,a-s,aurora,4727.6391,984051,1673.3414,1741,89.1505,1.06985E+12,1.33603E+15,1.77E+18,0.5989,0.63602,0.66519,aurora,,,,,,,,,,,,,,,,,,,
7,726,f,a-s,aurora,4727.6391,634452,1145.199,1138,50.8133,2.67702E+11,2.16542E+14,1.87E+17,0.5708,0.6141,0.6479,aurora,,,,,,,,,,,,,,,,,,,
8,735,f,s-s,silvana,4885.6046,889416,1602.0627,1649,-123.5292,6.44725E+11,7.11216E+14,8.53E+17,0.51631,0.56287,0.60016,silvana,,,,,,,,,,,,,,,,,,,
9,735,f,s-s,silvana,4885.6046,552109,1051.3688,1035,22.2319,1.95482E+11,1.44933E+14,1.15E+17,0.57491,0.61864,0.65272,silvana,,,,,,,,,,,,,,,,,,,
10,735,f,s-s,silvana,4824.5407,889416,1602.0627,1649,-123.5292,6.44725E+11,7.11216E+14,8.53E+17,0.51631,0.56287,0.60016,silvana,,,,,,,,,,,,,,,,,,,
11,735,f,s-s,silvana,4824.5407,552109,1051.3688,1035,22.2319,1.95482E+11,1.44933E+14,1.15E+17,0.57491,0.61864,0.65272,silvana,,,,,,,,,,,,,,,,,,,
12,736,f,a-e,elegans,4155.4726,998666,1668.3737,1710,-104.4607,7.69446E+11,8.80108E+14,1.10E+18,0.51331,0.56067,0.59856,elegans,,,,,,,,,,,,,,,,,,,
13,736,f,a-e,elegans,4155.4726,630493,1103.9246,1089,40.7132,2.43178E+11,1.88507E+14,1.56E+17,0.57029,0.61403,0.64804,elegans,,,,,,,,,,,,,,,,,,,
14,736,f,a-e,elegans,4809.4452,998666,1668.3737,1710,-104.4607,7.69446E+11,8.80108E+14,1.10E+18,0.51331,0.56067,0.59856,elegans,,,,,,,,,,,,,,,,,,,
15,736,f,a-e,elegans,4809.4452,630493,1103.9246,1089,40.7132,2.43178E+11,1.88507E+14,1.56E+17,0.57029,0.61403,0.64804,elegans,,,,,,,,,,,,,,,,,,,
16,738,m,a-e,elegans,4665.2442,1105201,1750.8576,1798,-114.3222,9.66164E+11,1.16711E+15,1.53E+18,0.52001,0.56637,0.60346,elegans,,,,,,,,,,,,,,,,,,,
