,id,sex,Perimeter,area,ellipse axe 1 length,max axe 1 length,deviation max axe 1 from center,axe 1 Moment 2,axe 1 Moment 3,axe 1 Moment 4,std axe 1 Moment 2,std axe 1 Moment 3,std axe 1 Moment 4,Tribe,Genus,Species,sub-species,ellipse axe 2 length,max axe 2 length,deviation max axe 2 from center,axe 2 Moment 2,axe 2 Moment 3,axe 2 Moment 4,std axe 2 Moment 2,std axe 2 Moment 3,std axe 2 Moment 4,sex-phenotype
0,725,f,4565.9549,954465.0,1622.1291,1674,69.7104,967713404464,1166093876204630,1.48850925120962e+18,0.6015,0.63861,0.66756,,,,,,,,,,,,,,
1,725,f,4565.9549,638157.0,1120.3231,1100,-59.4572,249024797899,195194465382355,1.64017680697156e+17,0.56789,0.61252,0.64729,,,,,,,,,,,,,,
2,725,f,4595.8817,954465.0,1622.1291,1674,69.7104,967713404464,1166093876204630,1.48850925120962e+18,0.6015,0.63861,0.66756,,,,,,,,,,,,,,
3,725,f,4595.8817,638157.0,1120.3231,1100,-59.4572,249024797899,195194465382355,1.64017680697156e+17,0.56789,0.61252,0.64729,,,,,,,,,,,,,,
4,726,f,4447.3519,984051.0,1673.3414,1741,89.1505,1069847709180,1336034050619670,1.7700928152209e+18,0.5989,0.63602,0.66519,,,,,,,,,,,,,,
5,726,f,4447.3519,634452.0,1145.199,1138,50.8133,267701750118,216542452655594,1.8749806518073e+17,0.5708,0.6141,0.6479,,,,,,,,,,,,,,
6,726,f,4727.6391,984051.0,1673.3414,1741,89.1505,1069847709180,1336034050619670,1.7700928152209e+18,0.5989,0.63602,0.66519,,,,,,,,,,,,,,
7,726,f,4727.6391,634452.0,1145.199,1138,50.8133,267701750118,216542452655594,1.8749806518073e+17,0.5708,0.6141,0.6479,,,,,,,,,,,,,,
8,735,f,4885.6046,889416.0,1602.0627,1649,-123.5292,644725446306,711216237133670,8.53222445499065e+17,0.51631,0.56287,0.60016,,,,,,,,,,,,,,
9,735,f,4885.6046,552109.0,1051.3688,1035,22.2319,195482360421,144933005900285,1.14997785583302e+17,0.57491,0.61864,0.65272,,,,,,,,,,,,,,
10,735,f,4824.5407,889416.0,1602.0627,1649,-123.5292,644725446306,711216237133670,8.53222445499065e+17,0.51631,0.56287,0.60016,,,,,,,,,,,,,,
11,735,f,4824.5407,552109.0,1051.3688,1035,22.2319,195482360421,144933005900285,1.14997785583302e+17,0.57491,0.61864,0.65272,,,,,,,,,,,,,,
12,736,f,4155.4726,998666.0,1668.3737,1710,-104.4607,769446408206,880107516868692,1.09603753677949e+18,0.51331,0.56067,0.59856,,,,,,,,,,,,,,
13,736,f,4155.4726,630493.0,1103.9246,1089,40.7132,243177871497,188507441466907,1.56387633916566e+17,0.57029,0.61403,0.64804,,,,,,,,,,,,,,
14,736,f,4809.4452,998666.0,1668.3737,1710,-104.4607,769446408206,880107516868692,1.09603753677949e+18,0.51331,0.56067,0.59856,,,,,,,,,,,,,,
15,736,f,4809.4452,630493.0,1103.9246,1089,40.7132,243177871497,188507441466907,1.56387633916566e+17,0.57029,0.61403,0.64804,,,,,,,,,,,,,,
16,738,m,4665.2442,1105201.0,1750.8576,1798,-114.3222,966163557720,1167105899993170,1.53180383590227e+18,0.52001,0.56637,0.60346,,,,,,,,,,,,,,
17,738,m,4665.2442,745133.0,1178.7182,1172,-77.563,328297026705,272648933753097,2.42912022921019e+17,0.56636,0.61028,0.64473,,,,,,,,,,,,,,
18,738,m,4889.026,1105201.0,1750.8576,1798,-114.3222,966163557720,1167105899993170,1.53180383590227e+18,0.52001,0.56637,0.60346,,,,,,,,,,,,,,
19,738,m,4889.026,745133.0,1178.7182,1172,-77.563,328297026705,272648933753097,2.42912022921019e+17,0.56636,0.61028,0.64473,,,,,,,,,,,,,,
20,739,m,4634.7102,1098193.0,1748.2674,1777,-137.4878,974171267242,1179206247899090,1.54760800629965e+18,0.53002,0.57626,0.61314,,,,,,,,,,,,,,
