,id,sex,Tribe,Genus,Species,sub-species,area,ellipse axe 1 length,max axe 1 length,deviation max axe 1 from center,axe 1 Moment 2,axe 1 Moment 3,axe 1 Moment 4,std axe 1 Moment 2,std axe 1 Moment 3,std axe 1 Moment 4,Perimeter,doresal/ventral,Anterior/Posterior,left/right,sub/Family,ellipse axe 2 length,max axe 2 length,deviation max axe 2 from center,axe 2 Moment 2,axe 2 Moment 3,axe 2 Moment 4,std axe 2 Moment 2,std axe 2 Moment 3,std axe 2 Moment 4,genotype,phenotype,sex-phenotype
0,1,f,Heliconiinae,Heliconius,numata,elegans,892614.0,1581.4126,1632,124.9252,864660845290,1017313303044820,1267436133653250048,0.60307,0.64004,0.66888,4321.0117,d,Ant,d,Heliconiinae,748.3259,822.0,-12.5148,156330967127.0,82642622857155.0,4.73115510209372e+16,0.50912,0.55035,0.58372,,,
1,1,f,Heliconiinae,Heliconius,numata,elegans,889094.0,1567.0531,1625,128.4997,861023728056,1010764177358470,1256402413277169920,0.60559,0.64226,0.67095,4370.1833,,,,,,,,,,,,,,,,
2,1,f,Heliconiinae,Heliconius,numata,elegans,562096.0,1047.8688,1057,-2.5653,200347053298,148942580603550,118674208228348000,0.56482,0.60766,0.6413,3255.1253,,,,,,,,,,,,,,,,
3,1,f,Heliconiinae,Heliconius,numata,elegans,582341.0,1054.8397,1049,10.6096,201195944974,148540324671120,117681760747684000,0.56033,0.60457,0.63916,3331.0836,,,,,,,,,,,,,,,,
4,1,f,Heliconiinae,Heliconius,numata,elegans,893173.0,1573.867,1630,125.1786,884495893160,1047953007795650,1314326155873890048,0.61051,0.64706,0.6757,4474.4259,,,,,,,,,,,,,,,,
5,1,f,Heliconiinae,Heliconius,numata,elegans,890509.0,1579.9581,1631,127.9154,860684340844,1011637643368030,1259191019457750016,0.60277,0.63975,0.66859,4364.6858,,,,,,,,,,,,,,,,
6,1,f,Heliconiinae,Heliconius,numata,elegans,582295.0,1055.1082,1050,13.6585,200617149804,147985400522870,117145737910794000,0.55901,0.60326,0.63783,3368.9831,,,,,,,,,,,,,,,,
7,1,f,Heliconiinae,Heliconius,numata,elegans,559574.0,1045.8448,1053,-1.3757,197993655130,146735024350516,116553955082744992,0.5649,0.60785,0.64156,3270.0126,,,,,,,,,,,,,,,,
8,18,f,Heliconiinae,Heliconius,numata,elegans,957759.0,1678.3542,1756,137.3875,1131806665484,1453956593236480,1973619101990030080,0.61906,0.6545,0.6823,4754.8767,,,,,,,,,,,,,,,,
9,18,f,Heliconiinae,Heliconius,numata,elegans,963467.0,1685.3958,1726,147.1152,1068504537501,1343623781677280,1788910500663399936,0.61014,0.6473,0.67631,4573.764,d,Ant,g,Heliconiinae,760.4467,841.0,2.9591,172400946269.0,92399910258465.0,5.36971366809305e+16,0.50299,0.54427,0.57774,,,
10,18,f,Heliconiinae,Heliconius,numata,elegans,607886.0,1169.9062,1148,100.0058,281882801487,236468756988665,211671853121287008,0.59317,0.63588,0.66914,4368.568,,,,,,,,,,,,,,,,
11,18,f,Heliconiinae,Heliconius,numata,elegans,615863.0,1180.507,1194,45.3397,280979537566,235328964609148,210810907258172992,0.56571,0.60775,0.64062,3901.7842,,,,,,,,,,,,,,,,
12,18,f,Heliconiinae,Heliconius,numata,elegans,967718.0,1691.5572,1732,147.5335,1083079764745,1367885260710160,1829170155218190080,0.61081,0.64797,0.67698,4611.0361,,,,,,,,,,,,,,,,
13,18,f,Heliconiinae,Heliconius,numata,elegans,955130.0,1678.7464,1758,140.9516,1129612732243,1451798953223050,1971762904004849920,0.61861,0.65403,0.68183,4797.6219,,,,,,,,,,,,,,,,
14,18,f,Heliconiinae,Heliconius,numata,elegans,617625.0,1178.344,1195,19.3249,281698794265,235807596150429,211178295174971008,0.56515,0.60708,0.6399,4024.1273,,,,,,,,,,,,,,,,
15,18,f,Heliconiinae,Heliconius,numata,elegans,606606.0,1168.9169,1139,106.9468,282061396985,236812660497087,212155706146631008,0.59868,0.64167,0.67517,4442.8523,,,,,,,,,,,,,,,,
16,107,f,Ithomiinae,Melinaea,marsaeus,phasiana,982135.0,1639.9539,1702,168.4526,1121362272728,1412411597269420,1877713217999889920,0.62781,0.66319,0.69088,4623.3132,d,Ant,d,Ithomiinae,804.4745,886.0,11.1009,196679648563.0,111642675191401.0,6.88012563528455e+16,0.50508,0.54675,0.58066,,,
17,107,f,Ithomiinae,Melinaea,marsaeus,phasiana,986287.0,1657.1934,1728,128.0979,1140159131045,1445284260087850,1933109345048130048,0.62221,0.65731,0.68473,4644.7518,d,Ant,g,Ithomiinae,803.7129,888.0,31.2876,197271078904.0,111938650733078.0,6.90002161276785e+16,0.50364,0.54523,0.57916,,,
18,107,f,Ithomiinae,Melinaea,marsaeus,phasiana,658501.0,1167.084,1168,66.7385,290164625978,239228349586262,210767050021470016,0.56833,0.61091,0.64397,3768.8237,,,,,,,,,,,,,,,,
19,107,f,Ithomiinae,Melinaea,marsaeus,phasiana,646075.0,1185.7443,1200,91.6503,306167537730,259544211883416,234804444032755008,0.57366,0.61489,0.64703,3661.042,,,,,,,,,,,,,,,,
20,107,f,Ithomiinae,Melinaea,marsaeus,phasiana,987879.0,1655.5102,1729,121.1227,1145459654993,1453567664731180,1946345552391780096,0.62279,0.65783,0.68523,4662.3082,v,Ant,d,Ithomiinae,805.2907,889.0,34.1231,197890668769.0,112439938711065.0,6.94111123643034e+16,0.50345,0.54513,0.57913,,,
21,107,f,Ithomiinae,Melinaea,marsaeus,phasiana,984116.0,1641.3343,1711,138.0492,1107392452849,1387424821924260,1835189449612090112,0.61998,0.65535,0.68298,4586.7518,v,Ant,g,Ithomiinae,805.7439,887.0,18.081,197198148912.0,112035733920228.0,6.9118684235841e+16,0.50467,0.5464,0.58038,,,
22,107,f,Ithomiinae,Melinaea,marsaeus,phasiana,647028.0,1185.3051,1201,69.3403,305307534159,258444491768595,233521129996112000,0.57196,0.6132,0.64537,3604.1547,,,,,,,,,,,,,,,,
23,107,f,Ithomiinae,Melinaea,marsaeus,phasiana,657143.0,1164.8261,1167,67.9254,289256920017,238302835972001,209834966791696000,0.56851,0.61106,0.64414,3717.3263,,,,,,,,,,,,,,,,
24,108,f,Ithomiinae,Melinaea,marsaeus,phasiana,1099676.0,1739.5557,1802,131.0808,1334532226404,1745842875769870,2413662629772020224,0.61133,0.64738,0.67546,4764.5163,d,Ant,d,Ithomiinae,850.5435,932.0,-20.31,240163532805.0,143330621532359.0,9.30722124924606e+16,0.50142,0.54401,0.57873,,,
